Mailing ZIP Code,US Congressional District,Gender,Perm ZIP Code,Status Code,Precinct ID,_merge,Age,Age at Registration,Registration Year
78148-3123,21.0,1,1,1,1,1,1,1,1
78148-3123,35.0,1,1,1,1,1,1,1,1
09063,20.0,1,1,1,1,1,1,1,1
90858,20.0,1,1,1,1,1,1,1,1
22026-0000,21.0,2,2,2,2,2,2,2,2
22026-0000,22.0,2,2,2,2,2,2,2,2
22026-0000,25.0,65,65,65,65,65,65,65,65
78620-0000,20.0,1,1,1,1,1,1,1,1
78253-5077,35.0,1,1,1,1,1,1,1,1
88101-2166,35.0,1,1,1,1,1,1,1,1
78245-3832,12.0,2,2,2,2,2,2,2,2
78245-3832,20.0,1,1,1,1,1,1,1,1
78245-3832,24.0,1,1,1,1,1,1,1,1
78245-3832,33.0,1,1,1,1,1,1,1,1
75401-0000,20.0,1,1,1,1,1,1,1,1
78238-3025,21.0,1,1,1,1,1,1,1,1
78201-8785,21.0,2,2,2,2,2,2,2,2
78201-8785,28.0,1,1,1,1,1,1,1,1
09895,11.0,1,1,1,1,1,1,1,1
09895,20.0,1,1,1,1,1,1,1,1
09895,23.0,78,78,78,78,78,78,78,78
79752-0000,28.0,1,1,1,1,1,1,1,1
79752-0000,35.0,1,1,1,1,1,1,1,1
78152-9775,20.0,1,1,1,1,1,1,1,1
78229-3118,17.0,1,1,1,1,1,1,1,1
78229-3118,20.0,1,1,1,1,1,1,1,1
22939,5.0,1,1,1,1,1,1,1,1
22939,14.0,1,1,1,1,1,1,1,1
22939,16.0,1,1,1,1,1,1,1,1
22939,19.0,1,1,1,1,1,1,1,1
22939,20.0,1,1,1,1,1,1,1,1
22939,21.0,1,1,1,1,1,1,1,1
92392,23.0,1,1,1,1,1,1,1,1
38851-0000,20.0,1,1,1,1,1,1,1,1
78229-0906,10.0,2,2,2,2,2,2,2,2
78229-0906,12.0,1,1,1,1,1,1,1,1
78229-0906,19.0,1,1,1,1,1,1,1,1
78229-0906,35.0,2,2,2,2,2,2,2,2
20164,20.0,1,1,1,1,1,1,1,1
20164,27.0,502,502,502,502,502,502,502,502
20164,34.0,1,1,1,1,1,1,1,1
78351,23.0,1,1,1,1,1,1,1,1
78255-2262,20.0,1,1,1,1,1,1,1,1
78255-2262,23.0,1,1,1,1,1,1,1,1
09614,11.0,1,1,1,1,1,1,1,1
09614,17.0,1,1,1,1,1,1,1,1
09614,20.0,2,2,2,2,2,2,2,2
09614,21.0,3,3,3,3,3,3,3,3
09614,23.0,1842,1842,1842,1842,1842,1842,1842,1842
09614,25.0,1,1,1,1,1,1,1,1
09614,27.0,1,1,1,1,1,1,1,1
78802,20.0,1,1,1,1,1,1,1,1
78802,32.0,1,1,1,1,1,1,1,1
07960,28.0,1,1,1,1,1,1,1,1
78109-4196,21.0,1,1,1,1,1,1,1,1
33134,13.0,1,1,1,1,1,1,1,1
33134,35.0,1,1,1,1,1,1,1,1
67216,3.0,1,1,1,1,1,1,1,1
67216,20.0,2,2,2,2,2,2,2,2
23114,20.0,1,1,1,1,1,1,1,1
78304,20.0,1,1,1,1,1,1,1,1
78218-0461,20.0,1,1,1,1,1,1,1,1
78218-0461,21.0,2,2,2,2,2,2,2,2
78218-0461,23.0,2,2,2,2,2,2,2,2
78218-0461,35.0,1,1,1,1,1,1,1,1
78280-0000,28.0,1,1,1,1,1,1,1,1
