Precinct ID,Number of Voters
586532,3100
633112,3099
598434,3099
660930,3099
484217,3097
547177,3097
942417,3096
578720,3094
561207,3094
602357,3093
523479,3092
533428,3091
622715,3091
565084,3089
574870,3089
582549,3089
572837,3087
541567,3087
541413,3086
620697,3086
565179,3085
553227,3085
492009,3084
600479,3084
602273,3083
559165,3083
598527,3083
543407,3082
573039,3081
553269,3079
572898,3079
543438,3078
549167,3077
561204,3077
484154,3076
491960,3075
606339,3075
549144,3074
553260,3074
596625,3073
574904,3073
620730,3073
555267,3073
541417,3073
622496,3073
574873,3073
484087,3072
606378,3072
610323,3071
586692,3070
576692,3068
572906,3068
574846,3067
606395,3067
941920,3066
576856,3066
555243,3066
578737,3066
541551,3065
582524,3065
602378,3065
950263,3064
537380,3064
608314,3064
1064931,3064
633033,3063
942123,3060
531426,3059
541351,3059
553206,3059
950224,3059
563250,3057
586678,3056
537339,3056
950059,3056
563333,3055
527524,3054
523520,3052
511481,3051
594716,3051
574774,3050
523439,3049
950411,3044
561354,3044
588636,3042
942031,3042
555400,3039
495980,3038
578654,3038
633082,3037
566982,3036
950261,3036
600492,3035
622657,3035
598548,3034
565038,3033
608221,3033
578759,3030
596605,3030
561237,3030
551163,3030
1001350,3029
692948,3028
941873,3027
950329,3027
578635,3027
950083,3027
600354,3026
574898,3025
588693,3024
578602,3023
563241,3022
523504,3020
600392,3019
610172,3017
578618,3017
582418,3016
724207,3016
950342,3015
622551,3014
588470,3014
950334,3012
950002,3011
942006,3010
991448,3009
513602,3009
551177,3009
942064,3009
543538,3008
533446,3008
594821,3007
586671,3006
596588,3005
547199,3005
588448,3004
561274,3004
495953,3002
660928,2999
555204,2999
561218,2996
578763,2994
602268,2994
523451,2993
586697,2993
513625,2992
523468,2991
574902,2991
594649,2990
633206,2990
600519,2989
537314,2988
565222,2988
620698,2987
679835,2987
576716,2987
588478,2985
950176,2984
543368,2983
511515,2982
582424,2979
570781,2978
572936,2977
596700,2977
633108,2977
578741,2977
495898,2976
543543,2976
565207,2976
950363,2975
549179,2975
596648,2974
533638,2974
541343,2970
576731,2969
561294,2968
610350,2968
950343,2967
622521,2966
533584,2966
610285,2966
942272,2965
547207,2965
608196,2965
511475,2964
531458,2964
594679,2964
559164,2963
596566,2962
588604,2962
622574,2961
610341,2958
1064949,2958
561335,2956
993102,2956
950260,2955
559176,2954
553189,2953
574993,2953
563161,2953
608289,2951
574889,2949
608305,2948
551230,2948
563247,2947
555186,2947
594782,2947
561235,2947
565190,2946
582517,2946
610226,2945
533477,2944
543422,2944
484221,2942
608201,2942
517562,2942
950907,2941
993099,2940
484160,2938
950141,2938
588619,2938
950057,2937
942406,2936
950839,2935
941939,2933
574795,2932
620597,2931
576817,2931
582571,2930
533445,2930
576876,2929
622658,2929
511514,2928
492000,2927
565017,2927
570836,2926
950225,2925
610120,2924
633159,2924
574834,2924
594632,2923
608239,2923
563233,2923
561242,2921
600463,2920
533415,2919
578758,2919
950124,2918
533616,2917
620646,2917
533402,2917
578740,2916
484082,2916
950372,2916
586659,2915
533459,2914
633040,2914
570751,2914
578729,2914
555513,2913
533574,2913
950442,2911
559193,2911
622552,2910
523495,2908
547178,2907
608198,2906
610098,2906
941878,2905
950195,2902
622713,2902
491928,2901
541499,2900
622589,2900
543535,2899
942313,2899
572800,2899
543450,2898
997666,2898
484100,2898
620593,2897
950232,2897
567043,2897
578574,2894
572841,2893
610312,2893
